STLAM.IT,Stellantis NV,EUR,0,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
TREE.US,LendingTree Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
TRIP.US,TripAdvisor Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
TROX.US,Tronox Holdings PLC,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
TTD.US,Trade Desk Inc - class A,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
UBI.FR,UBISOFT Entertainment,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
UPST.US,Upstart Holdings Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
USNA.US,USANA Health Sciences Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
VHC.US,VirnetX Holding Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
VICR.US,Vicor Corp,USD,100,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
VIV.FR,Vivendi SA,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
VNET.US,VNET Group Inc CFD,USD,50.0,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
VPG.US,Vishay Precision Group Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
VRM.US,Vroom Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
VTY.UK,Vistry Group PLC,GBP,100,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
VU.FR,Vusiongroup SA CFD,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
WHR.US,Whirlpool Corp,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
WIX.US,Wix.com Ltd.,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
WKHS.US,Workhorse Group Inc,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
WLN.FR,Worldline SA/France,EUR,50,0,0.30%,0.50%,09:00 - 17:30,Mon - Fri,Stock
XPEV.US,Xpeng Inc - ADR,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
Z.US,Zillow Group Inc - class C,USD,50,0,0.30%,0.50%,15:30 - 22:00,Mon - Fri,Stock
